t1,cj1,t2,cj10,t3,cj20,t4,cj50,t5,c5
0.0008612625864293,0.013167800216669578,0.0008612625864293,0.023792989049739675,0.0008612625864293,0.007683189193562099,0.0008612625864293,0.0014366859567915358,0.0008612625864293,0.0055571812500038046
0.8835816606967453,0.3588143403087099,0.8835816606967453,0.05362758934081856,0.8835816606967453,0.004767037586052012,0.8835816606967453,0.024245914286764,0.8835816606967453,0.012124863445162249
1.3285285024447469,0.12919396030271485,1.3285285024447469,0.08782530212094969,1.3285285024447469,0.05096374546056884,1.3285285024447469,0.012859858666617653,1.3285285024447469,0.02340784267676664
1.5219916528265214,0.09232568019264227,1.5219916528265214,0.05758946487358697,1.5219916528265214,0.056778771688265124,1.5219916528265214,0.0005139861603496058,1.5219916528265214,0.005945235098815125
1.997538043531038,0.04750270137842382,1.997538043531038,0.254005584066016,1.997538043531038,0.016726789618779304,1.997538043531038,0.0170628912511842,1.997538043531038,0.011260539193147692
3.003441949503644,0.0189942194602119,3.003441949503644,0.8063346593279606,3.003441949503644,0.07453028298096448,3.003441949503644,0.01952083432740286,3.003441949503644,0.003383207619099625
3.440809563725318,0.012133100285765827,3.440809563725318,1.0033226425555928,3.440809563725318,0.10529707801862424,3.440809563725318,0.04648750084426301,3.440809563725318,0.03469596858889358
3.94186758155262,0.010288992968603066,3.94186758155262,1.0946649381676548,3.94186758155262,0.2353014533464142,3.94186758155262,0.05668068652550944,3.94186758155262,0.009466945251361434
5.173504363240111,0.005514678278361115,5.173504363240111,0.9895528931227675,5.173504363240111,0.5691678330296829,5.173504363240111,0.03782060961230207,5.173504363240111,0.004184387472080142
5.926881088530145,0.004260525023994069,5.926881088530145,0.82987200543235,5.926881088530145,0.7899928471559209,5.926881088530145,0.032676349196605343,5.926881088530145,0.012107883927068606
6.789966137300396,0.003339545110912321,6.789966137300396,0.6503997811291702,6.789966137300396,0.9901267297766062,6.789966137300396,0.06263681697475434,6.789966137300396,0.05193485226605752
7.778735469302248,0.002725701351253377,7.778735469302248,0.4851948645628623,7.778735469302248,1.090991239342943,7.778735469302248,0.1046639748692594,7.778735469302248,0.057691283701041825
8.911491497575897,0.00270704367052216,8.911491497575897,0.3513382783318378,8.911491497575897,1.0921687175276098,8.911491497575897,0.16145192134227934,8.911491497575897,0.0353618155428508
10.209201871533905,0.0021836803528593575,10.209201871533905,0.2509548449939362,10.209201871533905,1.0025292142904727,10.209201871533905,0.25390792161568926,10.209201871533905,0.047412665650253594
11.69588759435872,0.00010889633115970911,11.69588759435872,0.17810566455440247,11.69588759435872,0.8472474218052909,11.69588759435872,0.38175793464261104,11.69588759435872,0.043376701337552254
15.350268432291594,0.00048470393067420904,15.350268432291594,0.09012904969966601,15.350268432291594,0.5002991764503203,15.350268432291594,0.8529756546186779,15.350268432291594,0.10524033039816481
17.585607218514262,0.0006557484136762499,17.585607218514262,0.06482958414290234,17.585607218514262,0.363059301669043,17.585607218514262,1.026957749298045,17.585607218514262,0.14608335829261565
20.14646080020978,0.0001815397996022946,20.14646080020978,0.04692253056115535,20.14646080020978,0.259182596520975,20.14646080020978,1.1001923064049342,20.14646080020978,0.22874288089346725
23.080231335263573,0.0001175402029688559,23.080231335263573,0.033922870074453354,23.080231335263573,0.18405733702055416,23.080231335263573,1.0761862768324628,23.080231335263573,0.3895637968221827
26.441223784761966,3.6964474227211035e-05,26.441223784761966,0.02498795011035929,26.441223784761966,0.13080163623553306,26.441223784761966,0.9671326623730561,26.441223784761966,0.6051409193027
30.29165111389813,6.390757186701374e-05,30.29165111389813,0.01827795363275364,30.29165111389813,0.09332759791443214,30.29165111389813,0.801313153063506,30.29165111389813,0.8210607329102201
34.702785872374264,6.120364273621695e-05,34.702785872374264,0.01330231894954768,34.702785872374264,0.06692680931704109,34.702785872374264,0.6219381481496614,34.702785872374264,1.0169997880636228
39.75627947039584,5.165837330301295e-05,39.75627947039584,0.010099674332780233,39.75627947039584,0.04832561638969402,39.75627947039584,0.4613384910636891,39.75627947039584,1.0975081323153906
45.54567357044516,2.8749923749885356e-05,45.54567357044516,0.007562658943937255,45.54567357044516,0.03510468245669507,45.54567357044516,0.3329027442168892,45.54567357044516,1.0834606688627477
52.178131571145656,1.114389050601355e-05,52.178131571145656,0.005661408096732279,52.178131571145656,0.027397717793262045,52.178131571145656,0.23743776795751917,52.178131571145656,0.9810027891169123
59.77642223349319,8.435660704716496e-06,59.77642223349319,0.004056068659241749,59.77642223349319,0.019351946753870284,59.77642223349319,0.16858198948318834,59.77642223349319,0.8189030336235622
68.48119216696611,5.4420587156656106e-06,68.48119216696611,0.0029504108601851715,68.48119216696611,0.011447286841270882,68.48119216696611,0.11944132287174337,68.48119216696611,0.6384609215506145
78.45356923990124,4.335020554840553e-06,78.45356923990124,0.003936352629958854,78.45356923990124,0.010433271410887927,78.45356923990124,0.08540930804614752,78.45356923990124,0.4758785504556568
89.87814510403656,5.594144299124928e-06,89.87814510403656,0.002527911244560329,89.87814510403656,0.007800516020920644,89.87814510403656,0.06144391416332677,89.87814510403656,0.34413489846931805
102.96639204062812,2.889414793379977e-06,102.96639204062812,2.5212150473137275e-05,102.96639204062812,0.005670414090158742,102.96639204062812,0.0444412467653532,102.96639204062812,0.245319786262182
117.96057737497958,2.1958579956362427e-06,117.96057737497958,0.0010431359502745864,117.96057737497958,0.004255280726488192,117.96057737497958,0.03230135609346458,117.96057737497958,0.17423882619418135
135.13824791635025,1.963803409750301e-06,135.13824791635025,0.0001465828394382948,135.13824791635025,0.003092547187666799,135.13824791635025,0.023992140410143324,135.13824791635025,0.12384401141008812
154.81736743155832,2.5561555631539517e-06,154.81736743155832,0.0005448991165644409,154.81736743155832,0.0029867209968266434,154.81736743155832,0.017451364419908875,154.81736743155832,0.08835395935399246
177.3622022484293,2.003620455068173e-06,177.3622022484293,0.0004326563174890551,177.3622022484293,0.0031918455485761103,177.3622022484293,0.012312342848838457,177.3622022484293,0.06359480120208422
203.19006393335985,1.276574306289751e-06,203.19006393335985,0.0001678786414557667,203.19006393335985,0.0012584088680914556,203.19006393335985,0.009650452523000258,203.19006393335985,0.04574726058521198
232.77903385194577,8.955788069135914e-07,232.77903385194577,0.00012664560056891672,232.77903385194577,0.0001463971428867052,232.77903385194577,0.007445561872357949,232.77903385194577,0.03324722500071211
266.67681259658843,9.827319969093442e-07,266.67681259658843,6.075194272175043e-05,266.67681259658843,0.0006787148882585695,266.67681259658843,0.005182428012805918,266.67681259658843,0.024539503483294672
305.510858086592,6.638274980602169e-07,305.510858086592,0.00010739052998140733,305.510858086592,0.00029132838265236936,305.510858086592,0.0037258076711251344,305.510858086592,0.017952217917597813
350.0,2.560812248568538e-07,350.0,9.880523507306784e-05,350.0,0.0005579308209194212,350.0,0.0038724168378283003,350.0,0.015620680229084524
