"t","chi"
2.06758304696449,0.009370816599732268
2.720504009163804,0.016439089692101744
3.1557846506300127,0.022597054886211516
3.5910652920962196,0.027791164658634543
4.02634593356243,0.03175368139223561
4.461626575028637,0.034377510040160646
4.8969072164948475,0.03603748326639893
5.332187857961054,0.03700133868808568
6.420389461626575,0.03748326639892905
7.290950744558993,0.036680053547523433
7.943871706758303,0.03593038821954485
8.814432989690724,0.03432396251673361
9.902634593356245,0.03266398929049531
10.990836197021766,0.03105756358768407
11.86139747995418,0.029451137884872827
12.840778923253152,0.028005354752342705
13.656930126002292,0.02666666666666667
15.778923253150056,0.02414993306559572
17.574455899198163,0.022061579651941103
19.69644902634593,0.020187416331994647
21.655211912943876,0.01874163319946453
23.50515463917526,0.01734939759036145
25.463917525773198,0.016171352074966536
27.422680412371136,0.015153949129852747
29.27262313860252,0.014297188755020084
33.190148911798396,0.012797858099062923
37.10767468499427,0.011512717536813925
41.134020618556704,0.010548862115127178
45.05154639175258,0.009692101740294515
48.8602520045819,0.00894243641231593
52.77777777777778,0.008299866131191429
56.695303550973655,0.00776439089692102
60.50400916380298,0.007336010709504688
64.42153493699887,0.006961178045515395
68.33906071019474,0.00658634538152611
74.21534936998856,0.006050870147255694
80.09163802978237,0.005676037483266401
85.85910652920964,0.005301204819277108
91.73539518900346,0.004926372155287823